text,label
MPD director Armstrong: when this first happened I cannot begin to tell you the devastation I felt.,Can't Decide
#HungerArticles: Nepal: Rebuilding Lives and Livelihoods After Quake Devastation http://t.co/LROuWjMbIx,Relevant
#CNNHoTD soccer mom wild swimming handcuffed child teen hookup case nuclear devastation showers Miss Piggy... http://t.co/XG9s40AFtZ,Not Relevant
The Dones felt grief bordering on devastation at losing connection with God through their church communities. Packard http://t.co/r2pQQPfqCt,Not Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past http://t.co/5wfXbAQMBK The anniversary of the devastation wrought by the…,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/1erd2FPryP,Relevant
We haven't seen the devastation from the 2014 Corp. Breaches yet Be Prepared! Get Coverage!: http://t.co/eK6KYHxPE9 http://t.co/Yn6NxOucR1,Not Relevant
@Pam_Palmater i agree with @perrybellegarde to get out &amp,Relevant
My father walked through the devastation the day after and refuses to speak about it to this day https://t.co/oFu6DANJZC,Relevant
Despite past devastation fortunately #forgiveness mutual #respect and #peace emerged.  #Remember #Hiroshima and #Nagasaki,Relevant
Is This Country Latin America's Next 'Argentina': One week ago we reported on the economic devastation in he o... http://t.co/m2y9Ym3iF6,Not Relevant
“Even in the midst of devastation something within us always points the way to freedom.”,Relevant
The devastation when you smash your phone ??????????????????????????,Not Relevant
"HQhed mhtw4fnet

A sad reminder of nuclear devastation - Washington Post",Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b...  http://t.co/BS6XaqHsim,Relevant
Devastation Walkthrough Part 11: http://t.co/BOjDByB9YA przez @YouTube,Relevant
#Thorium Radioactive Weapons. Scandals murders and environmental devastation: - VIDEO http://t.co/mly7sDN6eV,Relevant
http://t.co/Gxgm1T3W0J From Devastation to Elation Getting Back on My Feet Helping Those Willing To Help Themselves http://t.co/puMxLVLsgM,Not Relevant
we hid the devastation of what atom caused by not making it mandatory for film of its human suffering be shown &amp,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/o6AA0nWLha,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/Targ56iGBZ,Relevant
What would your city look like if it had been the subject of the #Hiroshima bombing? Hint-devastation. #BeyondtheBomb http://t.co/3nKcUlGVMW,Relevant
Is This Country Latin America's Next 'Argentina': One week ago we reported on the economic devastation in he o... http://t.co/J3rcOflDyA,Not Relevant
@nikkihaley Profile in Ambition. Legacy of cultural devastation for attempt at a white house gig. @Reince @gop http://t.co/5cCrnwirFn,Not Relevant
At least 18 houses 5 bridges destroyed in flash #floods in #Gilgit-#Baltistan on Wednesday. http://t.co/HSJcR45SIS http://t.co/dQ931ea6Pr,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/JESoSSDjjH,Relevant
Fascinating pics from inside North Korea. Not propaganda not devastation - just people living life. http://t.co/E2Dbcpwd9u,Not Relevant
$10M SETTLEMENT attained using our illustrations to help jurors understand the true devastation of internal injuries: http://t.co/2BaXg1WdPP,Relevant
70 Years After Atomic Bombs Japan Still Struggles With Wartime Past: The anniversary of the devastation wroug... http://t.co/AU6Sm5FaMq,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/vFCtrzaOk2,Relevant
#health #Newyear The anniversary of the devastation wrought by the first military use of an atomic weapon come...  http://t.co/yuo7jDnijx,Relevant
I visited Hiroshima in 2006. It is an incredible place. This model shows devastation of the bomb. http://t.co/Gid6jqN8UG,Relevant
Devastation: coming to a @Target and find the @Starbucks closed ?? #momneedscoffee #asap #iwontmakeit,Not Relevant
Water now tops the charts for highest global risk in terms of devastation‚ ahead of nuclear war or a global pandemic http://t.co/nbcvbSO9nm,Relevant
Currently Blasting #Benediction - #SanelessTheory -on Metal Devastation Radio-  http://t.co/siGeeQ42cZ,Not Relevant
I forgot to bring chocolate with me. Major disaster.,Not Relevant
IRIN Asia | Red tape tangles Nepal reconstruction | Nepal | Disaster Risk Reduction | Natural Disasters http://t.co/q7LG6ncf7G,Relevant
More Natural Disaster Research Urgent http://t.co/5Cm0LfZhxn via #JakartaPost,Relevant
@quinhii I'm the one who started it so I feel like I have so much responsibility bUT NO ONE DOES ANYTHING OTL (a 'national' disaster lol),Not Relevant
Trying to route my sister into W. Lafayette from the Indy airport. Suggested I-74 to SR 25 west of Crawfordsville. Hope it's not a disaster.,Not Relevant
I'm a disaster?? https://t.co/VCV73BUaCZ,Not Relevant
Time to End the Disaster of Rail Privatisation http://t.co/ksxznPY5gt,Not Relevant
@LovelyLikeLaura I can see why one of your favorite books is 'Beautiful Disaster' it may now be one of mine??,Not Relevant
¨'Only the sea knows how many are dead' @MSF_Sea after last disaster in #Mediterranean turned into a massgrave  http://t.co/m0utLDif77,Relevant
Reade this and see how are politicians are leading us to disaster all for the #GreedyRich https://t.co/2bFliBD2sh,Not Relevant
Beautiful disaster // Jon McLaughlin is such a good song,Not Relevant
paladins is going to be a disaster,Not Relevant
@Tim_A_Roberts w/o giving up too much of Nana France reminds me of America right before the war in Iraq. A restlessness leading to disaster,Relevant
Strengthening partnerships #AfterHaiyan http://t.co/Ga14egplw9 #Haiyan #YolandaPh #Philippines #livelihood #disasterrecovery #disaster,Relevant
beautiful disaster https://t.co/qm5Sz0fyU8,Not Relevant
#Microsoft’s #Nokia acquisition was an even bigger #disaster than we ever imagined http://t.co/CV0mrisFt3,Not Relevant
My first staining attempt was a disaster https://t.co/buDmKE3nNf,Not Relevant
#OVERPOPULATION Not only R women incapable of keeping their legs together 2 save the world from endless brats they want to RUN the disaster,Not Relevant
Harper gets sassed by Albertans after calling NDP government a ‘disaster' http://t.co/vsMOJyfzDg via @huffpostalberta #HarperBlamesAlbertans,Not Relevant
CW500: Dealing with disaster - http://t.co/jq9nJ6Gko3,Relevant
I want to go back to Vegas for my 21 but I feel like that would be such a disaster lol so much money would need to be brought,Not Relevant
Blue Bell May Be Close to a Return From Its Listeria Disaster... Hot on #theneeds #Recipes http://t.co/F56v61AmPt,Relevant
Jeff Locke. Train wreck. F'in disaster. Fortunately the Pirates acquired a top quality starter in J.A... Oh wait. #Blowltan,Relevant
#Metepec #Mexico - ?NIGHT DISASTER?...E(Oficial) @ #NitClub #música #música http://t.co/WTfJF9jjzs,Relevant
DISASTER AVERTED: Police kill gunman with 'hoax device' at cinema http://t.co/tdHn9zy0ER  via #Foxnews,Relevant
WHAT A DISASTER FOR SECRET  #TI5,Not Relevant
TV: Vitaly Churkin Briliantly Exposes the Hypocrisy of the Ukraine's FM Klimkin About the MH17 Disaster http://t.co/tt4kVmvuJq,Relevant
Illinois Tornado Slipped Under The Radar Emergency Officials Say http://t.co/zhGu8yE1bj,Relevant
Top insurer blasts lack of Australian Govt action on disaster mitigation http://t.co/sDgOUtWNtb via @smh,Relevant
•i'm the architect of my own disaster•,Not Relevant
@Hollyorange8 my day has been a disaster of emotions,Not Relevant
I'm setting myself up for disaster,Not Relevant
What the hell is wrong with people?!communication!  Rule with an iron fist ticket to disaster.  Can't swing one day and not the next.,Not Relevant
Disaster [Chapter 27] https://t.co/EAsxT3y84R http://t.co/CjUFunsDKg,Relevant
@Gurmeetramrahim #MSGDoing111WelfareWorks Green S welfare force ke appx 65000 members har time disaster victim ki help ke liye tyar hai....,Relevant
@cncpts @SOLELINKS what a disaster - can't say I'm surprised,Not Relevant
RT @AmznFavorites THE DEVEREAUX DISASTER. 'Exciting scifi #thriller...' http://t.co/Mw9amBgAfq #SciFi #Kindle,Not Relevant
Deepwater drill company gains $735m: Transocean one of the companies associated with BP's Deepwater Horizon oil well disaster recovers…,Not Relevant
Microsoft’s Nokia acquisition was an even bigger disaster than we ever imagined https://t.co/4MneTInGXl,Not Relevant
Not an electric debut for Severino but not a disaster either. Looking forward to see what adjustments he makes for start #2.,Not Relevant
"Keeps askin me what this means
Not like i got the answers
Plus if i say the wrong thing
This might just turn into a disaster",Relevant
Four Technologies That Could Let Humans Survive Environmental Disaster - http://t.co/4RTpJrHsqe,Not Relevant
"This Palestinian family was lucky but hundreds are feared dead in the latest boat disaster in the Mediterranean
https://t.co/cT5v3LcNKD",Relevant
The @rbcinsurance quote website = disaster. Tried 3 browsers &amp,Not Relevant
I'd like to think I'm photogenic but every time I see a pic with me in it I just think to myself 'gosh what a disaster' xD,Not Relevant
DISASTER AVERTED: Police kill gunman with ‘hoax device’ at cinema http://t.co/5NG0FzpVdS,Not Relevant
DISASTER AVERTED: Police kill gunman with 'hoax device' at cinema http://t.co/94SXKI7KVX,Relevant
If Locke has to pitch in the playoffs it's not a disaster but they should absolutely positively never let him pitch the sixth inning.,Not Relevant
Teen Disaster Preparedness Event in Van Nuys August 11 @ 5:30pm http://t.co/fXUX987vZx via @VanNuysCouncil,Not Relevant
@Youssefyamani add Fez weather to the equation and you have the best recipe for disaster.,Not Relevant
Heat wave adding to the misery of internally-displaced Gazans http://t.co/jW3hN9ewFT via @PressTV http://t.co/NYWrkRQ7Kn,Relevant
#Myanmar  Displaced #Rohingya at #Sittwe point of no return http://t.co/cgf61fPmR0  #Prison like conditions #genocide IHHen MSF Refugees,Relevant
Crews were out all day boarding up windows at the park at the Galleria apts. where fire displaced 55 this AM. http://t.co/NMPN2mqZgE,Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
300000 Dead 1200000 injured 11000000 Displaced this is #Syria 2015 visit  http://t.co/prCI76hOwu  #US #Canada http://t.co/rTCuFaG0au,Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
#Myanmar 's Displaced #Rohingya at #Sittwe point of no return http://t.co/gsa4o1mjNm Prison-like conditionsprivation http://t.co/i5ma6eWuwc,Relevant
@lizhphoto When I have so much shit going on in my head I'd rather talk about it than have an outburst.. Displaced aggression SUX!!,Not Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
#KCA #VoteJKT48ID 12News: UPDATE: A family of 3 has been displaced after fired damaged housed near 90th and Osborn. Fire extinguished no i…,Relevant
Angry Woman Openly Accuses NEMA Of Stealing Relief Materials Meant For IDPs: An angry Internally Displaced wom... http://t.co/Khd99oZ7u3,Not Relevant
Next up: a charity program for disadvantaged people displaced by the tech boom in SF based on Tinder technology.  https://t.co/yNVz1WrgtN,Not Relevant
@I_AmTalia @SGC72 'Thousands of people were displaced/injured/killed but hey now there's more opportunity for different restaurants!',Relevant
The year is 2065 and the national society of meme preservation has opened the first museum where memes and their origins are displaced,Not Relevant
Philippines Must Protect Internally Displaced Persons Warns UN Expert http://t.co/xLZWTzgQTC,Relevant
At least 180 dead a million displaced in India floods - India | ReliefWeb http://t.co/0abgFgLH7X,Relevant
#KCA #VoteJKT48ID 12News: UPDATE: A family of 3 has been displaced after fired damaged housed near 90th and Osborn. Fire extinguished no i…,Relevant
9000 Photographs from 1800's British Mandate of Palestine - with no trace of 'Palestinians' http://t.co/X8i0mHYRmN,Relevant
#mightyworld Thousands displaced after monsoon rains in Myanmar: Tens of thousands of people have been displac... http://t.co/HkSDk89c6C,Relevant
Angry Woman Openly Accuses NEMA Of Stealing Relief Materials Meant For IDPs: An angry Internally Displaced woman... http://t.co/C1vzJOr2qz,Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
Oof. Vikings took an island off the mainland. The noble house who ruled there got displaced... into my county. Welcome new vassals!,Not Relevant
Job event targets displaced Double 8 employees http://t.co/2SJaaDRYdc http://t.co/RovTa5EUQO,Not Relevant
It's crazy how far in advance you feel the air displaced by a subway car before the train itself shows up.,Not Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
#Myanmar  Displaced #Rohingya at #Sittwe point of no return http://t.co/3S8nhaPVCh  #Prison like conditions #genocide IHHen MSF Refugees,Relevant
Displaced,Not Relevant
local family displaced by fire http://t.co/f1nu18CArd via @gofundme  Lets help that family out please,Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Not Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
? The Circular Ruins - Displaced part 4 ? http://t.co/Od2ratxRqS #nowplaying,Not Relevant
Historic flooding across Asia leaves hundreds dead millions displaced: http://t.co/4roisyXJlw http://t.co/3R8QoZJt7T,Relevant
Angry Woman Openly Accuses NEMA Of Stealing Relief Materials Meant For IDPs: An angry Internally Displaced wom... http://t.co/TEq7SrI57P,Relevant
#Myanmar  Displaced #Rohingya at #Sittwe point of no return http://t.co/qegMRhSms2  #Prison like conditions #genocide @IHHen @MSF @Refugees,Relevant
.POTUS #StrategicPatience is a strategy for #Genocide,Relevant
Displaced Persons GN (2014 Image) #1-1ST NM http://t.co/yEJt18sbm0 http://t.co/RcqacN91bE,Can't Decide
Philippines Must Protect Internally Displaced Persons Warns UN Expert - The Diplomat http://t.co/V0yRfH9DKc,Relevant
How much would it cost to have some fat displaced? Asking for a friend.,Not Relevant
#Myanmar  Displaced #Rohingya at #Sittwe point of no return http://t.co/cgf61fPmR0  #Prison like conditions #genocide IHHen MSF Refugees,Relevant
40 displaced by Ocean Township apartment fire #NewYork - http://t.co/uelZ59wVOm,Relevant
PennLive - Two families displaced by Mechanicsburg blaze - No one was injured in the fire. http://t.co/OHYD7Hhcpe,Relevant
@peterjukes A crime that killed/displaced millions. In which systematic torture was carried out. But look. GrahamWP fired a gun! Arrest him!,Relevant
Try not eating like a fat ass RT @INeedJa_Kadeeja: How much would it cost to have some fat displaced? Asking for a friend.,Not Relevant
'@PhelimKine: #Myanmar 's Displaced #Rohingya at #Sittwe point of no return http://t.co/8gO68KjE4b  http://t.co/0KrW1zYaHM',Relevant
Angry Woman Openly Accuses NEMA Of Stealing Relief Materials Meant For IDPs: An angry Internally Displaced wom... http://t.co/6ySbCSSzYS,Not Relevant
Could Billboard's Hot 100 chart be displaced by these social-media-driven music charts?    http://t.co/WVlaH8jRXe,Relevant
Real people. True stories. Real pain &amp,Relevant
@cityofhummus @ILNewsFlash do you want to hear more? Displaced my parents until both died in the diasporas !,Not Relevant
"Elem Pomo helping the displaced from the Rocky Fire. Please consider!
Elem Evacuation Center http://t.co/dYDFvz7amj via @gofundme",Relevant
For those displaced by disasters label and legal status remain out of reach https://t.co/kJMgTEEklp,Not Relevant
#Nevada's ‘exceptional’ #drought steady at ~11%,Relevant
U.S. in record hurricane drought http://t.co/NratKzyU5E #JustBitching http://t.co/JATvPAT0MO,Relevant
U.S. in record hurricane drought http://t.co/8JvQI9UspL,Relevant
U.S. record hurricane drought. http://t.co/fE9hIVfMxq,Relevant
Drought report lists SE Texas as 'abnormally dry' http://t.co/wBOXpyoZj0 #SETXNews,Not Relevant
Worried about how the CA drought might affect you? Extreme Weather: Does it Dampen Our Economy? http://t.co/fDzzuMyW8i,Relevant
LLF TALK WORLD NEWS U.S. in record hurricane drought - The United States hasn't been hit by a major hurricane in t... http://t.co/oqeq4ueGF8,Relevant
http://t.co/vYmnRnSThG: U.S. in record hurricane drought http://t.co/1mvSQG0XKE,Relevant
The Best Drought-Tolerant Perennials http://t.co/AdZONC7Olv http://t.co/ih9iTMhFjZ,Not Relevant
w--=-=-=-[ NEMA warns Nigerians to prepare for drought http://t.co/5uoOPhSqU3,Relevant
#MakeWaterWork Okanagan! Drought rating maxed out - Okanagan Valley http://t.co/tXrBdaUBNN http://t.co/Ue78c7EgOX #WesternCanadaDrought,Relevant
El Monte attempts to shed reputation of delinquency in drought - The Pasadena Star http://t.co/2wGOUCOHOu,Relevant
@MarcVegan @NonDairyKerry true. Also takes 16000 gal water to produce 1 lb hamburger. Drought in Midwest will be chaos,Relevant
Gov. Brown links CA wildfire to drought http://t.co/jEvrCWUdpm,Relevant
"Heat wave is relentless:  91°F Feels Like 100 Humidity 55% +
relentless drought too: now Dominicana. I know is worse in other places.",Relevant
Treasures revealed as California drought drains lakes http://t.co/kAH1KmTrj7,Relevant
CANADA BC DROUGHT: Okanagan region issued Level 4 rating - Okanagan River (Columbia trib) fishing suspended to Sep 30 http://t.co/r4yZHxk7lw,Relevant
I thought it was a drought,Not Relevant
It’s time to do away with drought.Check out how the #cloud #IOT are helping conserve water http://t.co/nnv3zwVANt,Relevant
@gfrost1985 @jeffpalmer16 @MLB @BlueJays why you so salty and scared when we have a drought like you said?,Not Relevant
U.S. in record hurricane drought http://t.co/JXOMdLtJ73,Relevant
Tips so that finding the customers ego drought: dqSVYusY,Not Relevant
New drought monitor showing drought spreads in ETX. 'Severe Drought' in Marion/Harrison Counties. @KLTV7 http://t.co/v8eG2kSLoH,Relevant
BLOG: Rain much needed as drought conditions worsen: Right now Charlotte and much of the surrounding area have… http://t.co/OLzaVTJFKH,Relevant
#weed news How marijuana is making California drought worse - Christian Science Monitor http://t.co/2SZ7oKjRXi,Relevant
#DroughtMonitor: Moderate or worse #drought ? to ~27% of contig USA,Relevant
Pretty neat website to get the latest drought conditions in your area https://t.co/uaoDOquDa1,Relevant
Thought it was a drought!,Relevant
You can't use as much water in a drought as you can with a flood!,Relevant
Pizza drought is over I just couldn't anymore...,Not Relevant
The Drought Is Real ??????,Relevant
@Michael5SOS California is in a drought. what are you gonna do about this issue? if you want to be president this attitude won't work with m,Relevant
Water conservation urged for North Thompson: B.C. government declares a Level 3 drought level for the North Th... http://t.co/dJ4qw8YfW5,Relevant
@KarinaGarciaxo_ me &amp,Not Relevant
For these Californians it's like living in Africa's Sahel desert - just finding water a daily chore. http://t.co/ySG9vsrT4g,Relevant
U.S. in record hurricane drought: The United States hasn't been hit by a major hurricane in the past nine years and it seems like that…,Relevant
#KondoByJaymOnI U.S. in record hurricane drought http://t.co/fqLSkejWxH #Anticipate,Relevant
Large rain drops falling in Rock Hill off Anderson Road. #rain #scwx #drought,Can't Decide
@jonbuda What if the drought is just a giant marketing campaign for Star Wars where they turn California into Tattooine?,Not Relevant
U.S. in record hurricane drought http://t.co/Wd4UdSxacq via CNN,Relevant
California meets drought-fueled fire season with extra crews.. Related Articles: http://t.co/rKDzB0TGC3,Relevant
Moderate #drought is spreading rapidly across central Ga. #Macon #WarnerRobins #Dublin #Milledgeville #gawx http://t.co/PHNEZ60cwe,Relevant
Thought it was a drought @_ASHJ? http://t.co/V4Br5gjMIY,Relevant
@_gaabyx we got purple activist I thought it was a drought,Relevant
We happily support mydrought  a project bringing awareness to the LA drought. Track your water… https://t.co/2ZvhX41I9v,Relevant
'California's Burning:' Gov. on Drought Wildfires http://t.co/mkqSVp8E0G,Relevant
I swear theres a bud drought,Not Relevant
LLF TALK  WORLD NEWS U.S. in record hurricane drought - The United States hasn't been hit by a major hurricane in ... http://t.co/ML8IrhWg7O,Relevant
'It's an eerie way of revealing both our history and our possible fate.' #CADrought #LakeIsabella by @jpanzar http://t.co/pvExbIiqSK,Not Relevant
Mane im not a Raiders Fan but they been in a drought. They need to go 10-6 lol,Not Relevant
I'm incredibly sad &amp,Not Relevant
@POTUS you until you drown by water entering the lungs. You being alive has caused this great country to fall to shit because you're a pussy,Not Relevant
.@karijobe and her band killed it tonight.  It was almost loud enough to drown out the tambourine behind me..... @codycarnes @AG_USA,Relevant
I'm bout to get in the shower an drown,Not Relevant
Little gecko chillin' in my garden! I ended up helping him out I suspected he might drown!… https://t.co/wXeLa91juh,Not Relevant
'Save me from my self don't let me drown'.,Not Relevant
We all carry these things inside that no one else can see. They hold us down like anchors they drown us out at sea.,Not Relevant
i cant breathe and i feel my throat closing up i want to die let me drown in my own tears please,Not Relevant
#NowPlaying Porcupine Tree - Drown With Me (Live) #Listen #Live at http://t.co/iyLVzy3Cob,Not Relevant
When you lowkey already know you're gonna drown in school this year :) http://t.co/aCMrm833zq,Not Relevant
@chromsucks don't drown,Not Relevant
Throw that water at me until I drown and my last words are choke me http://t.co/tUBE4NBqNz,Not Relevant
Just down drown me k I can't swim https://t.co/sJoEing76t,Not Relevant
Some days I drown in my tears but I don't let it get me down,Not Relevant
Need to drown in ice cream??,Not Relevant
@cameronhigdon34 I can't drown my demons they know how to swim.,Not Relevant
TWIA board approves 5 percent rate hike: The Texas Windstorm Insurance Association (TWIA) Board of Directors v... http://t.co/esEMjRn5cC,Not Relevant
Texas Seeks Comment on Rules for Changes to Windstorm Insurer: The Texas Department of Insurance is seeking pu... http://t.co/NGF9n8Jquu,Not Relevant
Texas Seeks Comment on Rules for Changes to Windstorm Insurer http://t.co/BZ07c9WthX via @ijournal,Not Relevant
A few more photos from this mornings windstorm. We've never seen anything like it! #rhodeisland #warwick,Relevant
the windstorm blew thru my open window and now my bong is in pieces just another example of nature's indifference to human suffering,Not Relevant
'My Fifty Online Dates and why I'm still single' by Michael Windstorm $2.99 Amazon http://t.co/5KohO39oJE    #kindle  #datingtips #goodreads,Not Relevant
@rangerkaitimay had major windstorm thunder and some rain down here near Jackson...calm now.,Relevant
TWIA board approves 5 percent rate hike: The Texas Windstorm Insurance Association (TWIA) Board of Directors v... http://t.co/TWPl0NL8cx,Relevant
Texas Seeks Comment on Rules for Changes to Windstorm Insurer http://t.co/XQIadG9H2w http://t.co/yPEElMjdZY,Not Relevant
Gunmen kill four in El Salvador bus attack: Suspected Salvadoran gang members killed four people and wounded s... http://t.co/r8k6rXw6D6,Relevant
Police Officer Wounded Suspect Dead After Exchanging Shots http://t.co/e4wvXQItV4,Relevant
Police Officer Wounded Suspect Dead After Exchanging Shots http://t.co/XxFk4KHbIw,Relevant
I also loved 'Bury my heart at wounded knee' too! #TheGame,Not Relevant
The whole food stamp gov. assistance program needs to be retooled for wounded veterans retirees and handicapped only.  #NoMoreHandouts,Not Relevant
Gunmen open fire on bus near El Salvador's capital killing 4 a week after gang attacks killed 8 bus drivers: http://t.co/Pz56zJSsfT bit…,Relevant
Officer Wounded Suspect Killed in Exchange of Gunfire: Richmond police officer wounded suspect killed in exc... http://t.co/crCN8rwvKj,Relevant
One man fatally shot another wounded on Vermont Street #Buffalo - http://t.co/KakY4mpCO4,Relevant
Richmond police officer wounded suspect killed http://t.co/m9d2ElImZI,Relevant
"The South Korean army wounded 44 persons' Takeshima's Japanese fisherman and occupies the island.  
http://t.co/mJCXgKU8Yt",Relevant
Gunmen kill four in El Salvador bus attack: Suspected Salvadoran gang members killed four people and wounded s... http://t.co/LZWRONbTmi,Relevant
Twilight's Encore (Wounded Hearts Book 3) by Jacquie Biggar http://t.co/ZnpTdIcQxE via @amazon #KindleCountdown #Sale #MFRWauthor #MGTAB,Not Relevant
You still acting like you were the one wounded. Didn't you do the stabbing?...,Relevant
"Prince Phillip said of the numbers of those murdered by the British at Amritsar...

“That’s a bit exaggerated it must include the wounded”.",Relevant
California cops have sketch of gunman who killed one wounded two deputies via the @FoxNews app http://t.co/3Ife1zsop7,Relevant
Police Officer Wounded Suspect Dead After Exchanging Shots: Richmond police officer wounded suspect killed after exchange of gunfire,Relevant
Let's not forget our wounded female veterans. http://t.co/rZ7fbr10xw,Relevant
#Dime_Miloko Officer Wounded Suspect Killed in Exchange of Gunfire: Richmond police officer wounded suspect killed in exchange of gunfire,Relevant
Gunmen kill four in El Salvador bus attack: Suspected Salvadoran gang members killed four people and wounded s... http://t.co/CNtwB6ScZj,Relevant
Police officer wounded suspect dead after exchanging shots: A Richmond police officer was wounded and a suspe... http://t.co/FzQPiQeCHB,Relevant
"Have you ever seen the President 
who killed your wounded child?
Or the man that crashed your sister's plane 
claimin' he was sent of God?",Not Relevant
One man fatally shot another wounded on Vermont Street #Buffalo - http://t.co/8ACDF4Zui6,Relevant
GENERAL AUDIENCE: On Wounded Families | ZENIT - The World Seen From Rome http://t.co/hFvnyfT78C,Not Relevant
DESCRIPTIONS OF 'WOUNDED CATS BEING 'EXCITING' http://t.co/BJycRGfH5y,Not Relevant
Love is the weapon for this wounded generation &lt,Not Relevant
@AsterPuppet wounded and carried her back to where his brothers and sisters were and entered the air ship to go back to Academia,Not Relevant
Police officer wounded suspect dead after exchanging shots: RICHMOND Va. (AP) — A Richmond police officer wa... http://t.co/Y0qQS2L7bS,Relevant
Police Officer Wounded Suspect Dead After Exchanging Shots - http://t.co/iPHaZV47g7,Relevant
Police Officer Wounded Suspect Dead After Exchanging Shots http://t.co/brE2lGmn7C #ABC #News #AN247,Relevant
"Pope Francis talks about WOUNDED FAMILIES
http://t.co/m1RfBPODI9",Not Relevant
@wocowae Police Officer Wounded Suspect Dead After Exchanging Shots http://t.co/oiOeCbsh1f ushed,Relevant
The Police Chief assured the crowd that this officer-related shooting would be investigated: http://t.co/KMXzhO5TFM. http://t.co/AlBvDNwJtg,Relevant
@lordjewcup @helloimivan wounded warrior,Not Relevant
Man seriously wounded in Auburn Gresham shooting http://t.co/qPsSbAfSuL #Chiraq,Relevant
Suspected Salvadoran gang members killed four people and wounded seven more on Wednesday in an attack on a bus as it travelled down a rural…,Relevant
Police Officer Wounded Suspect Dead After Exchanging Shots: Richmond police officer wounded suspect killed a... http://t.co/5uFTRXPpV0,Relevant
I'm liable to sound like a wounded animal during sex if the ?? is good lol,Not Relevant
